날짜,시도지역코드,발생건수(건)
20140203,전남,3668
20140203,경북,4176
20140203,경남,5134
20140203,제주,957
20140203,전국,77646
20140204,서울,7747
20140204,부산,2682
20140204,대구,2235
20140204,인천,2850
20140204,광주,1494
20140204,대전,1223
20140204,울산,1072
20140204,경기,9685
20140204,강원,1238
20140204,충북,1491
20140204,충남,2008
20140204,전북,1929
20140204,전남,2199
20140204,경북,2477
20140204,경남,2873
20140204,제주,527
20140204,전국,43755
20140205,서울,8751
20140205,부산,2694
20140205,대구,2402
20140205,인천,3064
20140205,광주,1552
20140205,대전,1218
20140205,울산,1132
20140205,경기,10606
20140205,강원,1249
20140205,충북,1507
20140205,충남,1931
20140205,전북,2013
20140205,전남,2205
20140205,경북,2558
20140205,경남,3056
20140205,제주,519
20140205,전국,46476
20140206,서울,8513
20140206,부산,2765
20140206,대구,2366
20140206,인천,3186
20140206,광주,1713
20140206,대전,1269
20140206,울산,1144
20140206,경기,11095
20140206,강원,1369
20140206,충북,1695
20140206,충남,2183
20140206,전북,2150
20140206,전남,2203
20140206,경북,2666
20140206,경남,2954
20140206,제주,520
20140206,전국,47805
20140207,서울,9060
20140207,부산,2789
20140207,대구,2588
20140207,인천,3274
20140207,광주,1667
20140207,대전,1440
20140207,울산,1135
20140207,경기,11200
20140207,강원,1239
20140207,충북,1710
20140207,충남,2212
20140207,전북,2118
20140207,전남,2476
20140207,경북,2626
20140207,경남,3316
20140207,제주,558
20140207,전국,49419
20140208,서울,7988
20140208,부산,2472
20140208,대구,2584
20140208,인천,2854
20140208,광주,1672
20140208,대전,1407
20140208,울산,1043
20140208,경기,10109
20140208,강원,874
20140208,충북,1517
20140208,충남,1869
20140208,전북,1797
20140208,전남,2014
20140208,경북,2356
20140208,경남,2855
20140208,제주,409
20140208,전국,43830
20140209,서울,759
20140209,부산,160
20140209,대구,306
20140209,인천,377
20140209,광주,300
20140209,대전,178
20140209,울산,165
20140209,경기,1723
20140209,강원,113
20140209,충북,177
20140209,충남,273
20140209,전북,269
20140209,전남,393
20140209,경북,291
20140209,경남,171
20140209,제주,76
20140209,전국,5732
20140210,서울,11796
20140210,부산,3408
20140210,대구,3610
20140210,인천,4424
20140210,광주,2355
20140210,대전,1896
20140210,울산,1054
20140210,경기,15238
20140210,강원,1586
20140210,충북,2379
20140210,충남,2944
20140210,전북,3011
20140210,전남,3258
20140210,경북,3451
20140210,경남,4415
20140210,제주,696
20140210,전국,65543
20140211,서울,7891
20140211,부산,2647
20140211,대구,2557
20140211,인천,3114
20140211,광주,1722
20140211,대전,1372
20140211,울산,981
20140211,경기,10358
20140211,강원,1312
20140211,충북,1722
20140211,충남,2142
20140211,전북,2169
20140211,전남,2402
20140211,경북,2663
20140211,경남,3078
20140211,제주,516
20140211,전국,46663
20140212,서울,8266
20140212,부산,2628
20140212,대구,2549
20140212,인천,3143
20140212,광주,1676
20140212,대전,1289
20140212,울산,1100
20140212,경기,10619
20140212,강원,1368
20140212,충북,1613
20140212,충남,2070
20140212,전북,2141
20140212,전남,2311
20140212,경북,2711
20140212,경남,3061
20140212,제주,449
20140212,전국,47005
20140213,서울,7797
20140213,부산,2733
20140213,대구,2605
20140213,인천,3057
20140213,광주,1726
20140213,대전,1300
20140213,울산,1047
20140213,경기,10229
20140213,강원,1082
20140213,충북,1657
20140213,충남,2047
20140213,전북,2079
20140213,전남,2318
20140213,경북,2666
20140213,경남,3078
20140213,제주,499
20140213,전국,45938
20140214,서울,8413
20140214,부산,2735
20140214,대구,2623
20140214,인천,3251
20140214,광주,1713
20140214,대전,1364
20140214,울산,1060
20140214,경기,11324
20140214,강원,1340
20140214,충북,1732
20140214,충남,2191
20140214,전북,2192
20140214,전남,2344
20140214,경북,2770
20140214,경남,3117
20140214,제주,551
20140214,전국,48731
20140215,서울,7415
20140215,부산,2423
20140215,대구,2697
20140215,인천,2944
20140215,광주,1741
20140215,대전,1343
20140215,울산,920
20140215,경기,10013
20140215,강원,995
20140215,충북,1598
20140215,충남,1960
20140215,전북,1824
20140215,전남,2072
20140215,경북,2572
20140215,경남,2986
20140215,제주,357
20140215,전국,43876
20140216,서울,857
20140216,부산,165
20140216,대구,272
20140216,인천,428
20140216,광주,334
20140216,대전,147
20140216,울산,138
20140216,경기,1780
20140216,강원,101
20140216,충북,221
20140216,충남,273
20140216,전북,290
20140216,전남,371
20140216,경북,313
20140216,경남,215
20140216,제주,45
20140216,전국,5951
20140217,서울,11706
20140217,부산,3771
20140217,대구,3902
20140217,인천,4635
20140217,광주,2369
20140217,대전,1896
20140217,울산,1457
20140217,경기,15803
20140217,강원,1928
20140217,충북,2662
20140217,충남,3299
20140217,전북,3123
20140217,전남,3274
20140217,경북,4093
20140217,경남,4786
20140217,제주,691
20140217,전국,69413
20140218,서울,7825
20140218,부산,2728
20140218,대구,2860
20140218,인천,3161
20140218,광주,1722
20140218,대전,1302
20140218,울산,1024
20140218,경기,10825
20140218,강원,1179
20140218,충북,1778
20140218,충남,2219
20140218,전북,2247
20140218,전남,2569
20140218,경북,2799
20140218,경남,3280
20140218,제주,502
20140218,전국,48033
20140219,서울,7947
20140219,부산,2713
20140219,대구,2698
20140219,인천,2998
20140219,광주,1622
20140219,대전,1284
20140219,울산,1102
20140219,경기,10591
20140219,강원,1318
20140219,충북,1740
20140219,충남,2098
20140219,전북,2151
20140219,전남,2352
20140219,경북,2748
20140219,경남,3541
20140219,제주,488
20140219,전국,47413
20140220,서울,7781
20140220,부산,2905
20140220,대구,2742
20140220,인천,3017
20140220,광주,1775
20140220,대전,1341
20140220,울산,1047
20140220,경기,10464
20140220,강원,1265
20140220,충북,1787
20140220,충남,2256
20140220,전북,2159
20140220,전남,2550
20140220,경북,2834
