날짜,지점,발생건수(건)
20160330,경기,8727
20160331,경기,8701
20160401,경기,9676
20160402,경기,7817
20160403,경기,1647
20160404,경기,12334
20160405,경기,8280
20160406,경기,8110
20160407,경기,8318
20160408,경기,8950
20160409,경기,7674
20160410,경기,1427
20160411,경기,11639
20160412,경기,8375
20160413,경기,4692
20160414,경기,9217
20160415,경기,8246
20160416,경기,7229
20160417,경기,1441
20160418,경기,10824
20160419,경기,7935
20160420,경기,7472
20160421,경기,7778
20160422,경기,8410
20160423,경기,6985
20160424,경기,1465
20160425,경기,11849
20160426,경기,8553
20160427,경기,8920
20160428,경기,9086
20160429,경기,10001
20160430,경기,8320
20160501,경기,1925
20160502,경기,12863
20160503,경기,8421
20160504,경기,11120
20160505,경기,1753
20160506,경기,8878
20160507,경기,6603
20160508,경기,1406
20160509,경기,12309
20160510,경기,7686
20160511,경기,7978
20160512,경기,7610
20160513,경기,8598
20160514,경기,2587
20160515,경기,1574
20160516,경기,11766
20160517,경기,7237
20160518,경기,7198
20160519,경기,7096
20160520,경기,7756
20160521,경기,6209
20160522,경기,1279
20160523,경기,10497
20160524,경기,6999
20160525,경기,7154
20160526,경기,7277
20160527,경기,7647
20160528,경기,5946
20160529,경기,1171
20160530,경기,9831
20160531,경기,6736
20160601,경기,6954
20160602,경기,6786
20160603,경기,7504
20160604,경기,6112
20160605,경기,1074
20160606,경기,2110
20160607,경기,9396
20160608,경기,6188
20160609,경기,5693
20160610,경기,6283
20160611,경기,5171
20160612,경기,882
20160613,경기,7783
20160614,경기,5496
20160615,경기,5008
20160616,경기,5538
20160617,경기,6002
20160618,경기,4553
20160619,경기,878
20160620,경기,7797
20160621,경기,5312
20160622,경기,5062
20160623,경기,5235
20160624,경기,5825
20160625,경기,4372
20160626,경기,826
20160627,경기,7605
20160628,경기,5185
20160629,경기,5229
20160630,경기,4980
20160701,경기,5380
20160702,경기,4447
20160703,경기,834
20160704,경기,6633
20160705,경기,4552
20160706,경기,5135
20160707,경기,5001
20160708,경기,5184
20160709,경기,4163
20160710,경기,759
20160711,경기,6834
20160712,경기,4952
20160713,경기,4898
20160714,경기,4783
20160715,경기,5284
20160716,경기,4012
20160717,경기,918
20160718,경기,7113
20160719,경기,4828
20160720,경기,5086
20160721,경기,4862
20160722,경기,5295
20160723,경기,4133
20160724,경기,888
20160725,경기,6735
20160726,경기,4795
20160727,경기,4802
20160728,경기,4593
20160729,경기,5044
20160730,경기,3804
20160731,경기,714
20160801,경기,6621
20160802,경기,4579
20160803,경기,4662
20160804,경기,4814
20160805,경기,5016
20160806,경기,3710
20160807,경기,758
20160808,경기,6886
20160809,경기,4833
20160810,경기,4807
20160811,경기,4851
20160812,경기,5296
20160813,경기,3964
20160814,경기,746
20160815,경기,1435
20160816,경기,7148
20160817,경기,4944
20160818,경기,5139
20160819,경기,5677
20160820,경기,4511
20160821,경기,1009
20160822,경기,7621
20160823,경기,5275
20160824,경기,5549
20160825,경기,5565
20160826,경기,6237
20160827,경기,5475
20160828,경기,1089
20160829,경기,9083
20160830,경기,6342
20160831,경기,5717
20160901,경기,6719
20160902,경기,6417
20160903,경기,5545
20160904,경기,1119
20160905,경기,8650
20160906,경기,6062
20160907,경기,6312
20160908,경기,6489
20160909,경기,7525
20160910,경기,6369
20160911,경기,1263
20160912,경기,11071
20160913,경기,10069
20160914,경기,1727
20160915,경기,419
20160916,경기,1484
20160917,경기,6519
20160918,경기,1483
20160919,경기,11119
20160920,경기,7326
20160921,경기,7068
20160922,경기,7035
20160923,경기,7378
20160924,경기,6087
20160925,경기,1023
20160926,경기,8898
20160927,경기,5818
20160928,경기,6236
20160929,경기,6272
20160930,경기,6967
20161001,경기,6267
20161002,경기,1114
20161003,경기,1875
20161004,경기,9415
20161005,경기,6428
20161006,경기,6349
20161007,경기,6820
20161008,경기,6009
20161009,경기,1086
20161010,경기,9941
20161011,경기,7075
20161012,경기,6756
20161013,경기,6840
20161014,경기,7493
20161015,경기,6170
20161016,경기,1260
20161017,경기,9921
20161018,경기,7119
20161019,경기,6813
20161020,경기,7177
20161021,경기,8077
20161022,경기,6623
20161023,경기,1369
20161024,경기,10659
20161025,경기,7306
20161026,경기,7217
20161027,경기,7545
20161028,경기,8072
20161029,경기,6951
20161030,경기,1351
20161031,경기,10993
20161101,경기,8039
20161102,경기,7781
20161103,경기,8175
20161104,경기,8746
20161105,경기,7269
20161106,경기,1502
20161107,경기,11269
20161108,경기,7948
20161109,경기,7749
20161110,경기,8125
20161111,경기,8986
20161112,경기,7557
20161113,경기,1719
20161114,경기,11316
20161115,경기,8272
20161116,경기,7977
20161117,경기,8122
20161118,경기,8932
20161119,경기,7845
20161120,경기,1598
20161121,경기,12618
20161122,경기,8790
20161123,경기,8660
20161124,경기,8764
20161125,경기,9978
20161126,경기,8119
20161127,경기,1798
20161128,경기,13252
20161129,경기,9097
20161130,경기,9190
20161201,경기,9842
20161202,경기,10321
20161203,경기,8815
20161204,경기,1954
20161205,경기,14189
20161206,경기,9578
20161207,경기,9727
20161208,경기,10005
20161209,경기,10802
20161210,경기,9165
20161211,경기,1897
20161212,경기,14598
20161213,경기,10441
20161214,경기,9736
20161215,경기,9998
20161216,경기,10926
20161217,경기,8869
20161218,경기,1643
20161219,경기,15036
20161220,경기,10178
20161221,경기,9598
20161222,경기,9501
20161223,경기,10584
20161224,경기,8227
20161225,경기,1262
20161226,경기,13457
20161227,경기,9189
20161228,경기,8557
20161229,경기,8721
20161230,경기,9997
20161231,경기,7007
20170101,경기,1398
20170102,경기,11418
20170103,경기,7974
20170104,경기,7807
20170105,경기,7574
20170106,경기,8098
20170107,경기,5984
20170108,경기,959
20170109,경기,10024
20170110,경기,6836
20170111,경기,6575
20170112,경기,6753
20170113,경기,7139
20170114,경기,5398
20170115,경기,920
20170116,경기,8980
20170117,경기,6334
20170118,경기,6279
20170119,경기,6554
20170120,경기,6321
20170121,경기,5589
20170122,경기,992
20170123,경기,9036
20170124,경기,6873
20170125,경기,7448
20170126,경기,9912
20170127,경기,1477
20170128,경기,324
20170129,경기,883
20170130,경기,3058
20170131,경기,9452
20170201,경기,6738
20170202,경기,6343
20170203,경기,7080
20170204,경기,5507
20170205,경기,934
20170206,경기,8838
20170207,경기,6439
20170208,경기,6071
20170209,경기,6064
20170210,경기,6584
20170211,경기,5587
20170212,경기,1013
20170213,경기,8840
20170214,경기,6566
20170215,경기,6335
20170216,경기,6366
