지점,날짜,O3
강원,20171030,0.028
강원,20171031,0.03
강원,20171101,0.045
강원,20171102,0.034
강원,20171103,0.039
강원,20171104,0.027
강원,20171105,0.033
강원,20171106,0.035
강원,20171107,0.04
강원,20171108,0.041
강원,20171109,0.024
강원,20171110,0.036
강원,20171111,0.024
강원,20171112,0.021
강원,20171113,0.033
강원,20171114,0.031
강원,20171115,0.029
강원,20171116,0.025
강원,20171117,0.025
강원,20171118,0.025
강원,20171119,0.031
강원,20171120,0.027
강원,20171121,0.02
강원,20171122,0.031
강원,20171123,0.025
강원,20171124,0.022
강원,20171125,0.024
강원,20171126,0.022
강원,20171127,0.023
강원,20171128,0.033
강원,20171129,0.028
강원,20171130,0.027
강원,20171201,0.025
강원,20171202,0.024
강원,20171203,0.034
강원,20171204,0.03
강원,20171205,0.028
강원,20171206,0.022
강원,20171207,0.022
강원,20171208,0.023
강원,20171209,0.024
강원,20171210,0.028
강원,20171211,0.023
강원,20171212,0.023
강원,20171213,0.022
강원,20171214,0.017
강원,20171215,0.021
강원,20171216,0.022
강원,20171217,0.03
강원,20171218,0.025
강원,20171219,0.024
강원,20171220,0.023
강원,20171221,0.025
강원,20171222,0.031
강원,20171223,0.036
강원,20171224,0.03
강원,20171225,0.029
강원,20171226,0.026
강원,20171227,0.025
강원,20171228,0.02
강원,20171229,0.023
강원,20171230,0.021
강원,20171231,0.03
강원,20180101,0.029
강원,20180102,0.025
강원,20180103,0.023
강원,20180104,0.019
강원,20180105,0.019
강원,20180106,0.025
강원,20180107,0.018
강원,20180108,0.025
강원,20180109,0.03
강원,20180110,0.024
강원,20180111,0.022
강원,20180112,0.025
강원,20180113,0.024
강원,20180114,0.032
강원,20180115,0.033
강원,20180116,0.036
강원,20180117,0.022
강원,20180118,0.032
강원,20180119,0.026
강원,20180120,0.031
강원,20180121,0.027
강원,20180122,0.025
강원,20180123,0.032
강원,20180124,0.03
강원,20180125,0.028
강원,20180126,0.027
강원,20180127,0.021
강원,20180128,0.031
강원,20180129,0.032
강원,20180130,0.03
강원,20180131,0.024
강원,20180201,0.025
강원,20180202,0.023
강원,20180203,0.026
강원,20180204,0.033
강원,20180205,0.029
강원,20180206,0.028
강원,20180207,0.027
강원,20180208,0.026
강원,20180209,0.031
강원,20180210,0.037
강원,20180211,0.033
강원,20180212,0.031
강원,20180213,0.032
강원,20180214,0.043
강원,20180215,0.028
강원,20180216,0.027
강원,20180217,0.033
강원,20180218,0.026
강원,20180219,0.029
강원,20180220,0.029
강원,20180221,0.03
강원,20180222,0.039
강원,20180223,0.039
강원,20180224,0.031
강원,20180225,0.022
강원,20180226,0.028
강원,20180227,0.025
강원,20180228,0.037
강원,20180301,0.041
강원,20180302,0.038
강원,20180303,0.036
강원,20180304,0.042
강원,20180305,0.035
강원,20180306,0.033
강원,20180307,0.02
강원,20180308,0.027
강원,20180309,0.028
강원,20180310,0.027
강원,20180311,0.036
강원,20180312,0.029
강원,20180313,0.057
강원,20180314,0.047
강원,20180315,0.036
강원,20180316,0.034
강원,20180317,0.024
강원,20180318,0.014
강원,20180319,0.027
강원,20180320,0.037
강원,20180321,0.035
강원,20180322,0.025
강원,20180323,0.025
강원,20180324,0.057
강원,20180325,0.054
강원,20180326,0.069
강원,20180327,0.071
강원,20180328,0.065
강원,20180329,0.044
강원,20180330,0.026
강원,20180331,0.041
강원,20180401,0.057
강원,20180402,0.051
강원,20180403,0.046
강원,20180404,0.034
강원,20180405,0.027
강원,20180406,0.034
강원,20180407,0.037
강원,20180408,0.039
강원,20180409,0.032
강원,20180410,0.037
강원,20180411,0.046
강원,20180412,0.039
강원,20180413,0.035
강원,20180414,0.025
강원,20180415,0.028
강원,20180416,0.031
강원,20180417,0.03
강원,20180418,0.051
강원,20180419,0.057
강원,20180420,0.06
강원,20180421,0.072
강원,20180422,0.045
강원,20180423,0.037
강원,20180424,0.036
강원,20180425,0.029
강원,20180426,0.043
강원,20180427,0.051
강원,20180428,0.056
강원,20180429,0.076
강원,20180430,0.081
강원,20180501,0.05
강원,20180502,0.047
강원,20180503,0.037
강원,20180504,0.053
강원,20180505,0.077
강원,20180506,0.051
강원,20180507,0.049
강원,20180508,0.044
강원,20180509,0.034
강원,20180510,0.039
강원,20180511,0.068
강원,20180512,0.051
강원,20180513,0.038
강원,20180514,0.061
강원,20180515,0.063
강원,20180516,0.019
강원,20180517,0.027
강원,20180518,0.031
강원,20180519,0.03
강원,20180520,0.03
강원,20180521,0.03
강원,20180522,0.019
강원,20180523,0.028
강원,20180524,0.06
강원,20180525,0.075
강원,20180526,0.061
강원,20180527,0.046
강원,20180528,0.049
강원,20180529,0.04
강원,20180530,0.051
강원,20180531,0.046
강원,20180601,0.049
강원,20180602,0.071
강원,20180603,0.072
강원,20180604,0.072
강원,20180605,0.059
강원,20180606,0.061
강원,20180607,0.075
강원,20180608,0.058
강원,20180609,0.046
강원,20180610,0.033
강원,20180611,0.026
강원,20180612,0.025
강원,20180613,0.026
강원,20180614,0.032
강원,20180615,0.033
강원,20180616,0.025
강원,20180617,0.016
강원,20180618,0.025
강원,20180619,0.049
강원,20180620,0.042
강원,20180621,0.042
강원,20180622,0.053
강원,20180623,0.077
강원,20180624,0.085
강원,20180625,0.064
강원,20180626,0.032
강원,20180627,0.057
강원,20180628,0.05
강원,20180629,0.043
강원,20180630,0.036
경기,20160101,0.009
경기,20160102,0.012
경기,20160103,0.009
경기,20160104,0.014
경기,20160105,0.011
경기,20160106,0.007
경기,20160107,0.011
경기,20160108,0.01
경기,20160109,0.014
경기,20160110,0.014
경기,20160111,0.014
경기,20160112,0.01
경기,20160113,0.013
경기,20160114,0.01
경기,20160115,0.008
경기,20160116,0.007
경기,20160117,0.01
경기,20160118,0.019
경기,20160119,0.022
경기,20160120,0.01
경기,20160121,0.007
경기,20160122,0.01
경기,20160123,0.024
경기,20160124,0.022
경기,20160125,0.013
경기,20160126,0.007
경기,20160127,0.013
경기,20160128,0.007
경기,20160129,0.009
경기,20160130,0.007
경기,20160131,0.019
경기,20160201,0.016
경기,20160202,0.01
경기,20160203,0.012
경기,20160204,0.015
경기,20160205,0.014
경기,20160206,0.02
경기,20160207,0.015
경기,20160208,0.025
경기,20160209,0.027
경기,20160210,0.013
경기,20160211,0.014
경기,20160212,0.01
경기,20160213,0.006
경기,20160214,0.023
경기,20160215,0.025
경기,20160216,0.015
경기,20160217,0.015
경기,20160218,0.02
경기,20160219,0.008
경기,20160220,0.017
경기,20160221,0.024
경기,20160222,0.009
경기,20160223,0.018
경기,20160224,0.022
경기,20160225,0.021
경기,20160226,0.023
경기,20160227,0.018
경기,20160228,0.01
경기,20160229,0.03
경기,20160301,0.027
경기,20160302,0.024
경기,20160303,0.023
경기,20160304,0.023
경기,20160305,0.013
경기,20160306,0.015
경기,20160307,0.009
경기,20160308,0.019
경기,20160309,0.022
경기,20160310,0.025
경기,20160311,0.024
경기,20160312,0.022
경기,20160313,0.022
경기,20160314,0.025
경기,20160315,0.019
경기,20160316,0.023
경기,20160317,0.011
경기,20160318,0.01
경기,20160319,0.02
경기,20160320,0.025
경기,20160321,0.023
경기,20160322,0.028
경기,20160323,0.029
경기,20160324,0.025
경기,20160325,0.026
경기,20160326,0.03
경기,20160327,0.038
경기,20160328,0.032
경기,20160329,0.048
경기,20160330,0.032
경기,20160331,0.015
경기,20160401,0.019
경기,20160402,0.037
경기,20160403,0.02
경기,20160404,0.023
경기,20160405,0.031
경기,20160406,0.029
경기,20160407,0.03
경기,20160408,0.03
경기,20160409,0.024
경기,20160410,0.036
경기,20160411,0.028
경기,20160412,0.027
경기,20160413,0.016
경기,20160414,0.015
경기,20160415,0.027
경기,20160416,0.03
경기,20160417,0.035
경기,20160418,0.03
경기,20160419,0.023
경기,20160420,0.019
경기,20160421,0.024
경기,20160422,0.03
경기,20160423,0.022
경기,20160424,0.023
경기,20160425,0.017
경기,20160426,0.028
경기,20160427,0.039
경기,20160428,0.028
경기,20160429,0.036
경기,20160430,0.049
경기,20160501,0.043
경기,20160502,0.025
경기,20160503,0.027
경기,20160504,0.039
경기,20160505,0.031
경기,20160506,0.021
경기,20160507,0.026
경기,20160508,0.031
경기,20160509,0.022
경기,20160510,0.028
경기,20160511,0.026
경기,20160512,0.026
경기,20160513,0.033
경기,20160514,0.036
경기,20160515,0.031
경기,20160516,0.033
경기,20160517,0.032
경기,20160518,0.022
경기,20160519,0.028
경기,20160520,0.035
경기,20160521,0.04
경기,20160522,0.05
경기,20160523,0.037
경기,20160524,0.029
경기,20160525,0.038
경기,20160526,0.03
경기,20160527,0.026
경기,20160528,0.029
경기,20160529,0.038
경기,20160530,0.044
경기,20160531,0.033
경기,20160601,0.036
경기,20160602,0.035
경기,20160603,0.031
경기,20160604,0.008
